
Comment,Time Stamp (sec),Temperature (K),Field (Oe),Vlong (V),Vhall (V),Vr (V)
,3927057319.03714,7.99888563156128,137351.53125,-0.000000340623622,,
,3927057319.58028,7.99875497817993,137327.953125,-0.000000327959095,,
,3927057320.12937,7.99885511398315,137308.234375,-0.000000342113567,,
,3927057320.7389,7.99901533126831,137284.421875,-0.000000348073342,,
,3927057321.29709,7.99903106689453,137260.625,-0.000000341616916,,
,3927057321.89414,7.99965667724609,137240.78125,-0.000000325724176,,
,3927057322.433,7.9993748664856,137217.109375,-0.000000352294851,,
,3927057322.98642,7.99902200698853,137197.53125,-0.00000191474985,,
,3927057323.52965,7.99929428100586,137173.609375,-0.00000222056093,,
,3927057324.07796,8.00020694732666,137149.765625,-0.00000228909855,,
,3927057324.62553,7.99933385848999,137129.84375,-0.00000229778989,,
,3927057325.17529,7.99962615966797,137110.078125,-0.00000230474297,,
,3927057325.71654,7.99891328811646,137086.578125,-0.00000230412216,,
,3927057326.26313,7.99925470352173,137066.75,-0.00000231653836,,
,3927057326.81252,7.99940538406372,137043,-0.0000023118202,,
,3927057327.35545,7.999183177948,137023.234375,-0.0000023047429,,
,3927057327.90315,7.99917268753052,136999.375,-0.00000231331008,,
,3927057328.44858,7.99936819076538,136979.640625,-0.00000230784695,,
,3927057328.99514,7.99976348876953,136956.0625,-0.00000231144765,,
,3927057329.54362,8.00004005432129,136936.359375,-0.00000232771288,,
,3927057330.09872,8.00055313110352,136912.46875,-0.00000231840073,,
,3927057330.70842,8.00049781799316,136892.671875,-0.00000231368203,,
,3927057331.30377,8.00036716461182,136868.90625,-0.00000231703441,,
,3927057331.92389,8.00002956390381,136845.34375,-0.00000231082631,,
,3927057332.51505,7.99955987930298,136821.828125,-0.00000231653776,,
,3927057333.11453,7.99994325637817,136798.03125,-0.00000229915508,,
,3927057333.67685,8.00039291381836,136774.28125,-0.0000023056115,,
,3927057334.25656,8.00061225891113,136750.53125,-0.00000230250745,,
,3927057334.78238,8.00076293945313,136726.765625,-0.00000230598399,,
,3927057335.32947,8.00129508972168,136707.109375,-0.00000142281964,,
,3927057335.93685,8.00121307373047,136687.359375,-0.000000438587419,,
,3927057336.54781,8.00068283081055,136663.578125,-0.000000368435886,,
,3927057337.14062,8.00073051452637,136635.890625,-0.000000339133652,,
,3927057337.73312,8.00096702575684,136612.015625,-0.000000352418955,,
,3927057338.34401,8.0010871887207,136592.40625,-0.000000327089912,,
,3927057338.89368,7.99990892410278,136564.796875,-0.000000340499405,,
,3927057339.43656,8.00071620941162,136544.890625,-0.000000321378461,,
,3927057339.98188,8.00087451934814,136520.9375,-0.000000332925525,,
,3927057340.52785,8.00163745880127,136500.71875,-0.000000334167145,,
,3927057341.07513,8.0013542175293,136477.046875,-0.000000323116739,,
,3927057341.61676,8.00154209136963,136457.203125,-0.000000330566458,,
,3927057342.16722,8.00048351287842,136437.5625,-0.000000339133635,,
,3927057342.71661,7.99979782104492,136413.640625,-0.000000314673723,,
,3927057343.25746,7.99982309341431,136389.9375,-0.000000357509609,,
,3927057343.80591,7.99910402297974,136370.21875,-0.000000341120227,,
,3927057344.35064,7.99856996536255,136350.5,-0.000000333794697,,
,3927057344.89936,7.99835205078125,136326.765625,-0.000000331435619,,
,3927057345.43459,7.99888563156128,136306.953125,-0.000000343106848,,
,3927057346.00334,7.99798583984375,136287.15625,-0.000000324855032,,
,3927057346.53874,7.99788236618042,136263.421875,-0.000000335408803,,
,3927057347.10748,7.99837160110474,136239.75,-0.000000337395395,,
,3927057347.65204,7.99856424331665,136220.359375,-0.000000340499446,,
,3927057348.19761,7.99862909317017,136196.609375,-0.00000213675128,,
,3927057348.7415,7.99922037124634,136176.921875,-0.00000226091329,,
,3927057349.28856,8.00008010864258,136157.078125,-0.00000228959472,,
,3927057349.83579,7.99997520446777,136133.390625,-0.00000230188676,,
,3927057350.38384,7.99936294555664,136109.734375,-0.00000231641371,,
,3927057350.93655,7.99892663955688,136090,-0.00000232634733,,
,3927057351.48091,7.99919652938843,136066.28125,-0.00000231393113,,
,3927057352.0321,7.99964189529419,136046.421875,-0.00000230821967,,
,3927057352.57357,8.00048351287842,136022.640625,-0.00000230834383,,
,3927057353.1223,8.00075054168701,136002.71875,-0.00000230064579,,
,3927057353.67336,8.00086212158203,135983.203125,-0.00000231939426,,
,3927057354.21899,8.00059509277344,135959.515625,-0.00000233516267,,
,3927057354.75204,8.00059509277344,135935.78125,-0.00000231343431,,
,3927057355.30338,8.00071048736572,135915.9375,-0.0000023164142,,
,3927057355.84743,8.00042247772217,135896.140625,-0.00000233938418,,
,3927057356.39408,8.00061798095703,135872.46875,-0.00000231939409,,
,3927057356.94216,8.00143146514893,135852.671875,-0.00000232051155,,
,3927057357.54306,8.00229740142822,135828.890625,-0.00000233180974,,
,3927057358.14286,8.00236225128174,135805.109375,-0.00000232125597,,
